Brand,Waist,Alpha_Size,Num_Size,Brand_Type
H&M,22.75 - 24.5,XXS,0,Retail
H&M,24.5 - 26,XS,2,Retail
H&M,26 - 27.5,S,4,Retail
H&M,27.5 - 29,S,6,Retail
H&M,29 - 30.75,M,8,Retail
H&M,30.75 - 32.5,M,10,Retail
H&M,32.5 - 34.5,L,12,Retail
H&M,34.5 - 36.5,L,14,Retail
H&M,36.5 - 39,XL,16,Retail
H&M,39 - 41.25,XL,18,Retail
H&M,41.25 - 43.75,2XL,20,Retail
H&M,43.75 - 46.25,2XL,22,Retail
H&M,46.25 - 49,3XL,24,Retail
H&M,49 - 51.75,3XL,26,Retail
H&M,51.75 - 54.50,4XL,28,Retail
H&M,54.50 - 57.25,4XL,30,Retail
,,,,
Levis,26.5 - 27,n/a,26,Retail
Levis,27.5 - 28,n/a,27,Retail
Levis,28.5 - 29,n/a,28,Retail
Levis,29.5 - 30,n/a,29,Retail
Levis,30.5 - 31,n/a,30,Retail
Levis,31.5 - 32,n/a,31,Retail
Levis,32.5 - 33,n/a,32,Retail
Levis,33.5 - 34,n/a,33,Retail
Levis,34.5 - 35,n/a,34,Retail
Levis,35.5 - 36,n/a,35,Retail
Levis,36.5 - 37.5,n/a,36,Retail
Levis,38.5 - 39.5,n/a,38,Retail
Levis,40.5 - 41.5,n/a,40,Retail
Levis,42.5 - 43.5,n/a,42,Retail
Levis,44.5 - 45.5,n/a,44,Retail
Levis,46.5 - 47.5,n/a,46,Retail
Levis,48.5 - 49.5,n/a,48,Retail
Levis,50.5 - 51.5,n/a,50,Retail
Levis,52.5 - 53.5,n/a,52,Retail
Levis,54.5 - 55.5,n/a,54,Retail
Levis,56.5 - 57.5,n/a,56,Retail
Levis,58.5 - 59.5,n/a,58,Retail
Levis,60.5 - 61.5,n/a,60,Retail
,,,,
American Eagle,23.5,XXS,0,Retail
American Eagle,24.5,XS,0,Retail
American Eagle,25.5,XS,2,Retail
American Eagle,26.5,S,4,Retail
American Eagle,27.5,S,6,Retail
American Eagle,28.5,M,8,Retail
American Eagle,30,M,10,Retail
American Eagle,31.5,L,12,Retail
American Eagle,33,L,14,Retail
American Eagle,34.5,XL,16,Retail
American Eagle,36.5,XL,18,Retail
American Eagle,38.5,XXL,20,Retail
,,,,
Everlane,23,23,000,Retail
Everlane,24,24,00,Retail
Everlane,25,25,0,Retail
Everlane,26,26,2,Retail
Everlane,27,27,4,Retail
Everlane,28,28,6,Retail
Everlane,29,29,8,Retail
Everlane,30.25,30,10,Retail
Everlane,31.75,31,12,Retail
Everlane,33.25,32,14,Retail
Everlane,35.5,33,16,Retail
Everlane,38,34,18,Retail
Everlane,40,35,20,Retail
,,,,
Madewell,24,n/a,23,Retail
Madewell,25,n/a,24,Retail
Madewell,26,n/a,25,Retail
Madewell,27,n/a,26,Retail
Madewell,28,n/a,27,Retail
Madewell,29,n/a,28,Retail
Madewell,30.25,n/a,29,Retail
Madewell,31.5,n/a,30,Retail
Madewell,33,n/a,31,Retail
Madewell,34.5,n/a,32,Retail
Madewell,36.25,n/a,33,Retail
Madewell,37,14W,n/a,Retail
Madewell,39,16W,n/a,Retail
Madewell,41,18W,n/a,Retail
Madewell,43,20W,n/a,Retail
Madewell,45,22W,n/a,Retail
Madewell,47,24W,n/a,Retail
Madewell,49,26W,n/a,Retail
Madewell,51,28W,n/a,Retail
,,,,
Calvin Klein,25,XS ,0,Designer
Calvin Klein,26,XS ,2,Designer
Calvin Klein,27,S ,4,Designer
Calvin Klein,28,S ,6,Designer
Calvin Klein,29,M ,8,Designer
Calvin Klein,30,M ,10,Designer
Calvin Klein,31,L ,12,Designer
Calvin Klein,32,L ,14,Designer
,,,,
